n,k,repetition,centers_compromised,expected_result,actual_result,matches_expected,time_seconds
10,8,2,10,Decrypt,Decrypt,True,0.01344990000143298
10,8,3,0,Fail,Fail,True,5.000001692678779e-07
10,8,3,1,Fail,Fail,True,0.000601499999902444
10,8,3,2,Fail,Fail,True,0.001561499997478677
10,8,3,3,Fail,Fail,True,0.0025118999983533286
10,8,3,4,Fail,Fail,True,0.004002400000899797
10,8,3,5,Fail,Fail,True,0.004904599998553749
10,8,3,6,Fail,Fail,True,0.00682049999886658
10,8,3,7,Fail,Fail,True,0.007840000002033776
10,8,3,8,Decrypt,Decrypt,True,0.009461899997404544
10,8,3,9,Decrypt,Decrypt,True,0.011365399997885106
10,8,3,10,Decrypt,Decrypt,True,0.013184500003262656
10,8,4,0,Fail,Fail,True,4.00003045797348e-07
10,8,4,1,Fail,Fail,True,0.0006056999991415069
10,8,4,2,Fail,Fail,True,0.0014768000000913162
10,8,4,3,Fail,Fail,True,0.002440000000206055
10,8,4,4,Fail,Fail,True,0.0035747000001720153
10,8,4,5,Fail,Fail,True,0.004886899998382432
10,8,4,6,Fail,Fail,True,0.00617200000124285
10,8,4,7,Fail,Fail,True,0.007804199998645345
10,8,4,8,Decrypt,Decrypt,True,0.009494800000538817
10,8,4,9,Decrypt,Decrypt,True,0.011451600003056228
10,8,4,10,Decrypt,Decrypt,True,0.013345400002435781
10,8,5,0,Fail,Fail,True,2.999986463692039e-07
10,8,5,1,Fail,Fail,True,0.0005947999998170417
10,8,5,2,Fail,Fail,True,0.0014970000011089724
10,8,5,3,Fail,Fail,True,0.0024730000004637986
10,8,5,4,Fail,Fail,True,0.003545999999914784
10,8,5,5,Fail,Fail,True,0.004905699999653734
10,8,5,6,Fail,Fail,True,0.006177800001751166
10,8,5,7,Fail,Fail,True,0.007915900001535192
10,8,5,8,Decrypt,Decrypt,True,0.009485800001129974
10,8,5,9,Decrypt,Decrypt,True,0.011209700001927558
10,8,5,10,Decrypt,Decrypt,True,0.013352400001167553
10,8,6,0,Fail,Fail,True,3.9999940781854093e-07
10,8,6,1,Fail,Fail,True,0.000596199999563396
10,8,6,2,Fail,Fail,True,0.0014996999998402316
10,8,6,3,Fail,Fail,True,0.002457399998093024
10,8,6,4,Fail,Fail,True,0.0035464000029605813
10,8,6,5,Fail,Fail,True,0.004776500001753448
10,8,6,6,Fail,Fail,True,0.006214200002432335
10,8,6,7,Fail,Fail,True,0.008799800001725089
10,8,6,8,Decrypt,Decrypt,True,0.009515200003079372
10,8,6,9,Decrypt,Decrypt,True,0.011315100000501843
10,8,6,10,Decrypt,Decrypt,True,0.013299099999130704
10,8,7,0,Fail,Fail,True,3.9999940781854093e-07
10,8,7,1,Fail,Fail,True,0.0005958000001555774
10,8,7,2,Fail,Fail,True,0.001488699999754317
10,8,7,3,Fail,Fail,True,0.002563399997598026
10,8,7,4,Fail,Fail,True,0.0035723000000871252
10,8,7,5,Fail,Fail,True,0.0047677000002295244
10,8,7,6,Fail,Fail,True,0.006185700000060024
10,8,7,7,Fail,Fail,True,0.00861829999848851
10,8,7,8,Decrypt,Decrypt,True,0.009519400002318434
10,8,7,9,Decrypt,Decrypt,True,0.011755299998185365
10,8,7,10,Decrypt,Decrypt,True,0.013492699999915203
10,8,8,0,Fail,Fail,True,2.999986463692039e-07
10,8,8,1,Fail,Fail,True,0.000677499996527331
10,8,8,2,Fail,Fail,True,0.0015069000000949018
10,8,8,3,Fail,Fail,True,0.0024410999976680614
10,8,8,4,Fail,Fail,True,0.003574899998056935
10,8,8,5,Fail,Fail,True,0.004798900001333095
10,8,8,6,Fail,Fail,True,0.006250400001590606
10,8,8,7,Fail,Fail,True,0.0076705999999830965
10,8,8,8,Decrypt,Decrypt,True,0.009352599998237565
10,8,8,9,Decrypt,Decrypt,True,0.01132089999737218
10,8,8,10,Decrypt,Decrypt,True,0.013335799998458242
10,8,9,0,Fail,Fail,True,5.000001692678779e-07
10,8,9,1,Fail,Fail,True,0.0006167999999888707
10,8,9,2,Fail,Fail,True,0.0013192000005801674
10,8,9,3,Fail,Fail,True,0.0025907999988703523
10,8,9,4,Fail,Fail,True,0.003528299999743467
10,8,9,5,Fail,Fail,True,0.004806299999472685
10,8,9,6,Fail,Fail,True,0.006342699998640455
10,8,9,7,Fail,Fail,True,0.007777700000588084
10,8,9,8,Decrypt,Decrypt,True,0.009548500001983484
10,8,9,9,Decrypt,Decrypt,True,0.011344300000928342
10,8,9,10,Decrypt,Decrypt,True,0.013172099999792408
10,8,10,0,Fail,Fail,True,4.00003045797348e-07
10,8,10,1,Fail,Fail,True,0.0005915000001550652
10,8,10,2,Fail,Fail,True,0.0014898000008543022
